Title,Year
Mamma Mia!,2008
Man on Wire,2008
Marley & Me,2008
Max Payne,2008
Meet Dave,2008
Meet the Browns,2008
Meet the Spartans,2008
The Midnight Meat Train,2008
Milk,2008
Miracle at St. Anna,2008
Mirrors,2008
The Mummy: Tomb of the Dragon Emperor,2008
My Best Friend's Girl,2008
My Sassy Girl,2008
Never Back Down,2008
Nick and Norah's Infinite Playlist,2008
Nights in Rodanthe,2008
Nim's Island,2008
Nothing But the Truth,2008
Nothing Like the Holidays,2008
One Missed Call,2008
The Other Boleyn Girl,2008
Over Her Dead Body,2008
Passengers,2008
Pathology,2008
Patti Smith: Dream of Life,2008
Pineapple Express,2008
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008
Pray the Devil Back to Hell,2008
Pride and Glory,2008
Prom Night,2008
The Promotion,2008
Proud American,2008
Punisher: War Zone,2008
Quantum of Solace,2008
Quarantine,2008
Rachel Getting Married,2008
Rambo,2008
The Reader,2008
Redbelt,2008
Religulous,2008
Rent: Filmed Live on Broadway,2008
Repo! The Genetic Opera,2008
Revolutionary Road,2008
Righteous Kill,2008
The Rocker,2008
Role Models,2008
The Ruins,2008
Saw V,2008
The Secret Life of Bees,2008
Semi-Pro,2008
Seven Pounds,2008
Sex and the City,2008
Sex Drive,2008
Shutter,2008
The Sisterhood of the Traveling Pants 2,2008
Sleepwalking,2008
Smart People,2008
Soul Men,2008
Space Chimps,2008
Speed Racer,2008
The Spiderwick Chronicles,2008
Spike,2008
The Spirit,2008
Spy School,2008
Star Wars: The Clone Wars,2008
Step Brothers,2008
Step Up 2: The Streets,2008
Stop-Loss,2008
Strange Wilderness,2008
The Strangers,2008
Street Kings,2008
Sunshine Cleaning,2008
Superhero Movie,2008
Swing Vote,2008
The Tale of Despereaux,2008
Traitor,2008
Tropic Thunder,2008
Trouble the Water,2008
Twilight,2008
U2 3D,2008
Untraceable,2008
Valkyrie,2008
Vantage Point,2008
Vicky Cristina Barcelona,2008
Visioneers,2008
W.,2008
The Wackness,2008
WALL-E,2008
Waltz with Bashir,2008
Wanted,2008
"War, Inc.",2008
Welcome Home Roscoe Jenkins,2008
What Doesn't Kill You,2008
What Happens in Vegas,2008
What Just Happened,2008
Witless Protection,2008
The Women,2008
The Wrestler,2008
The X-Files: I Want to Believe,2008
Yes Man,2008
You Don't Mess with the Zohan,2008
Zack and Miri Make a Porno,2008
(500) Days of Summer,2009
12 Rounds,2009
2012,2009
9,2009
Adam,2009
Adventureland,2009
After.Life,2009
Alien Trespass,2009
Aliens in the Attic,2009
All About Steve,2009
Alvin and the Chipmunks: The Squeakquel,2009
Amelia,2009
American Violet,2009
Angels & Demons,2009
The Answer Man,2009
Arcadia Lost,2009
Armored,2009
Assassination of a High School President,2009
Astro Boy,2009
Avatar,2009
Away We Go,2009
The Bad Lieutenant: Port of Call New Orleans,2009
Bandslam,2009
Battle for Terra,2009
Berdella[2],2009
Beyond a Reasonable Doubt,2009
Big Fan,2009
The Blind Side,2009
Boogie Town,2009
The Boondock Saints II: All Saints Day,2009
The Box,2009
Bride Wars,2009
Brothers,2009
The Brothers Bloom,2009
Brother's War,2009
Brothers at War,2009
Brüno,2009
C Me Dance,2009
Capitalism: A Love Story,2009
Carriers,2009
Case 39,2009
The Chaos Experiment,2009
A Christmas Carol,2009
Cirque du Freak: The Vampire's Assistant,2009
Cloudy with a Chance of Meatballs,2009
Cold Souls,2009
The Collector,2009
Confessions of a Shopaholic,2009
Coraline,2009
Couples Retreat,2009
The Cove,2009
Crank: High Voltage,2009
Crazy Heart,2009
The Cross,2009
Crossing Over,2009
Dance Flick,2009
Did You Hear About the Morgans?,2009
District 9,2009
Drag Me to Hell,2009
Duplicity,2009
Echelon Conspiracy,2009
Every Little Step,2009
Everybody's Fine,2009
Extract,2009
Fame,2009
Fantastic Mr. Fox,2009
Fast & Furious,2009
Fighting,2009
The Final Destination,2009
Fired Up!,2009
"Food, Inc.",2009
Fragments,2009
Friday the 13th,2009
Funny People,2009
G-Force,2009
G.I. Joe: The Rise of Cobra,2009
Gallowwalker,2009
Gamer,2009
Gentlemen Broncos,2009
Ghosts of Girlfriends Past,2009
Gigantic,2009
The Girlfriend Experience,2009
"The Goods: Live Hard, Sell Hard",2009
The Great Buck Howard,2009
The Grudge 3,2009
Halloween II,2009
The Hangover,2009
Hannah Montana: The Movie,2009
Harry Potter and the Half-Blood Prince,2009
The Haunting in Connecticut,2009
He's Just Not That Into You,2009
The Hole,2009
Homecoming,2009
Horrorween,2009
Horsemen,2009
Hotel for Dogs,2009
Humpday,2009
I Can Do Bad All By Myself,2009
I Hate Valentine's Day,2009
I Hope They Serve Beer in Hell,2009
The Hurt Locker,2009
"I Love You, Beth Cooper",2009
"I Love You, Man",2009
Ice Age: Dawn of the Dinosaurs,2009
Imagine That,2009
The Imaginarium of Doctor Parnassus,2009
The Informant!,2009
The Informers,2009
Inglourious Basterds,2009
Ink,2009
The International,2009
Invictus,2009
An Invisible Sign,2009
The Invention of Lying,2009
It Might Get Loud,2009
It's Complicated,2009
Janky Promoters,2009
Jennifer's Body,2009
Jonas Brothers: The 3D Concert Experience,2009
Julie & Julia,2009
Knowing,2009
Labor Pains,2009
Laid to Rest,2009
Land of the Lost,2009
The Last House on the Left,2009
Law Abiding Citizen,2009
Life During Wartime,2009
The Lightkeepers,2009
The Limits of Control,2009
Love Happens,2009
Love N' Dancing,2009
The Lovely Bones,2009
Lymelife,2009
Madea Goes to Jail,2009
The Maiden Heist,2009
Management,2009
Me and Orson Welles,2009
The Men Who Stare at Goats,2009
The Merry Gentleman,2009
The Messenger,2009
Michael Jackson's This Is It,2009
Miss March,2009
Monsters vs. Aliens,2009
Motherhood,2009
My Bloody Valentine 3D,2009
My Life in Ruins,2009
My Sister's Keeper,2009
My One and Only,2009
New in Town,2009
New Moon,2009
"New York, I Love You",2009
Next Day Air,2009
Night at the Museum: Battle of the Smithsonian,2009
Nine,2009
Ninja Assassin,2009
Not Easily Broken,2009
Not Forgotten,2009
Notorious,2009
Observe and Report,2009
Obsessed,2009
Old Dogs,2009
Opie Gets Laid,2009
Orphan,2009
Pandorum,2009
Paper Heart,2009
Paul Blart: Mall Cop,2009
A Perfect Getaway,2009
Phoebe in Wonderland,2009
The Pink Panther 2,2009
Planet 51,2009
Post Grad,2009
Powder Blue,2009
Precious,2009
The Princess and the Frog,2009
The Private Lives of Pippa Lee,2009
The Proposal,2009
Public Enemies,2009
Push,2009
Quantum Quest: A Cassini Space Odyssey,2009
Race to Witch Mountain,2009
The Road,2009
Saw VI,2009
A Serious Man,2009
Sherlock Holmes,2009
Shrink,2009
Shorts,2009
A Single Man,2009
The Slammin' Salmon,2009
The Soloist,2009
Sorority Row,2009
Spread,2009
The Star of Bethlehem,2009
Star Trek,2009
State of Play,2009
The Stepfather,2009
Street Fighter: The Legend of Chun-Li,2009
Surrogates,2009
The Taking of Pelham 123,2009
Taking Woodstock,2009
Tekken,2009
Tennessee,2009
Terminator Salvation,2009
Tetro,2009
The Time Traveler's Wife,2009
Transformers: Revenge of the Fallen,2009
Trick 'r Treat,2009
True Adolescents,2009
Tyson,2009
The Ugly Truth,2009
The Unborn,2009
Underworld: Rise of the Lycans,2009
The Uninvited,2009
Up,2009
Up in the Air,2009
Wah Do Dem,2009
Watchmen,2009
We Live in Public,2009
What Goes Up,2009
Whatever Works,2009
Where the Wild Things Are,2009
Whiteout,2009
Whip It,2009
World's Greatest Dad,2009
X Games 3D: The Movie,2009
X-Men Origins: Wolverine,2009
Year One,2009
The Young Victoria,2009
Zombieland,2009
127 Hours,2010
8: The Mormon Proposition,2010
The Abandoned,2010
The A-Team,2010
A Little Help,2010
Adventures of Power,2010
Alice in Wonderland,2010
All Good Things,2010
All My Friends Are Funeral Singers,2010
Alpha and Omega,2010
The American,2010
The Back-up Plan,2010
Barry Munday,2010
BearCity,2010
Big Money Rustlas,2010
Black Swan,2010
Blue Valentine,2010
The Book of Eli,2010
Bouncing Cats,2010
The Bounty Hunter,2010
Brooklyn's Finest,2010
Brutal Beauty: Tales of the Rose City Rollers,2010
Buried,2010
Burlesque,2010
Case 39,2010
Casino Jack,2010
Casino Jack and the United States of Money,2010
Cats & Dogs: The Revenge of Kitty Galore,2010
Charlie St. Cloud,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
City Island,2010
Clash of the Titans,2010
Client 9: The Rise and Fall of Eliot Spitzer,2010
The Company Men,2010
Conviction,2010
Cop Out,2010
Countdown to Zero,2010
Country Strong,2010
The Crazies,2010
Crazy on the Outside,2010
Cyrus,2010
Date Night,2010
Darkening Sky,2010
Daybreakers,2010
Dead Awake,2010
Dear John,2010
Death at a Funeral,2010
Despicable Me,2010
Devil,2010
Diary of a Wimpy Kid,2010
Dinner for Schmucks,2010
Dirty Girl,2010
Due Date,2010
Easy A,2010
Eat Pray Love,2010
The Twilight Saga: Eclipse,2010
Edge of Darkness,2010
The Expendables,2010
The Extra Man,2010
Extraordinary Measures,2010
Fair Game,2010
Faster,2010
The Fighter,2010
Flipped,2010
For Colored Girls,2010
Freakonomics,2010
From Paris with Love,2010
Frozen,2010
Furry Vengeance,2010
Game of Death,2010
Get Him to the Greek,2010
Get Low,2010
Going the Distance,2010
The Good Guy,2010
The Greatest,2010
Green Zone,2010
Greenberg,2010
Grown Ups,2010
Gulliver's Travels,2010
Happy Tears,2010
Hachiko: A Dog's Story,2010
Harry Potter and the Deathly Hallows: Part 1,2010
Hereafter,2010
Holy Rollers,2010
Hot Tub Time Machine,2010
How Do You Know,2010
How to Train Your Dragon,2010
Hubble 3D,2010
Hurricane Season,2010
Hyenas,2010
I Love You Phillip Morris,2010
I'm Still Here,2010
Inception,2010
Iron Man 2,2010
It's Kind of a Funny Story,2010
Jack Goes Boating,2010
Jackass 3-D,2010
Jonah Hex,2010
The Joneses,2010
Just Wright,2010
Kaboom,2010
The Karate Kid,2010
Kick-Ass,2010
The Kids Are All Right,2010
The Killer Inside Me,2010
Killers,2010
Knight and Day,2010
Knucklehead,2010
The Last Airbender,2010
The Last Exorcism,2010
The Last Song,2010
Leap Year,2010
Legend of the Guardians: The Owls of Ga'Hoole,2010
Legendary,2010
Legion,2010
Let Me In,2010
Letters to God,2010
Letters to Juliet,2010
Life as We Know It,2010
Like Dandelion Dust,2010
Little Fockers,2010
The Losers,2010
Lottery Ticket,2010
Love Ranch,2010
Love & Other Drugs,2010
MacGruber,2010
Machete,2010
Marmaduke,2010
Marwencol,2010
Megamind,2010
Middle Men,2010
Mirrors 2,2010
Morning Glory,2010
Mother and Child,2010
My Soul to Take,2010
Nanny McPhee Returns,2010
The Next Three Days,2010
Night Catches Us,2010
A Nightmare on Elm Street,2010
The Other Guys,2010
Our Family Wedding,2010
Paper Man,2010
Paranormal Activity 2,2010
Passion Play,2010
Percy Jackson & the Olympians: The Lightning Thief,2010
The Perfect Game,2010
Piranha 3-D,2010
Please Give,2010
Preacher's Kid,2010
Predators,2010
Prince of Persia: The Sands of Time,2010
Rabbit Hole,2010
Ramona and Beezus,2010
The Rebound,2010
Red,2010
Remember Me,2010
Repo Men,2010
Resident Evil: Afterlife,2010
Robin Hood,2010
The Romantics,2010
The Runaways,2010
Saint John of Las Vegas,2010
Salt,2010
Saw VII,2010
Scott Pilgrim vs. the World,2010
Secretariat,2010
Sex and the City 2,2010
She's Out of My League,2010
Shrek Forever After,2010
Shutter Island,2010
Skyline,2010
Small Town Saturday Night,2010
The Social Network,2010
Solitary Man,2010
Somewhere,2010
The Sorcerer's Apprentice,2010
Splice,2010
The Spy Next Door,2010
Step Up 3D,2010
Stone,2010
The Sundowner,2010
The Switch,2010
Takers,2010
Tangled,2010
The Tempest,2010
Tooth Fairy,2010
The Town,2010
The Tourist,2010
Toy Story 3,2010
Tron: Legacy,2010
True Grit,2010
Twelve,2010
Unstoppable,2010
Valentine's Day,2010
Vampires Suck,2010
Waiting for Superman,2010
Wall Street: Money Never Sleeps,2010
Welcome to the Rileys,2010
What If...,2010
What's Wrong with Virginia,2010
When in Rome,2010
Why Did I Get Married Too?,2010
Winnebago Man,2010
Winter's Bone,2010
The Wolfman,2010
Wonderful World,2010
Yogi Bear,2010
You Again,2010
You Will Meet a Tall Dark Stranger,2010
Youth in Revolt,2010
11/11/2011,2011
30 Minutes or Less,2011
35 and Ticking,2011
50/50,2011
Abduction,2011
The Adjustment Bureau,2011
The Adventures of Tintin: The Secret of the Unicorn,2011
African Cats,2011
Alvin and the Chipmunks: Chipwrecked,2011
Another Earth,2011
Apollo 18,2011
The Art of Getting By,2011
Arthur,2011
Arthur Christmas,2011
Atlas Shrugged: Part I,2011
Bad Teacher,2011
Battle: Los Angeles,2011
Beastly,2011
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",2011
The Beaver,2011
Beginners,2011
A Better Life,2011
"Big Mommas: Like Father, Like Son",2011
The Big Year,2011
Born to Be Wild 3D,2011
The Twilight Saga: Breaking Dawn - Part 1,2011
Bridesmaids,2011
Buck,2011
Bucky Larson: Born to Be a Star,2011
Captain America: The First Avenger,2011
Carnage,2011
Cars 2,2011
Cedar Rapids,2011
The Change-Up,2011
The Chaperone,2011
Colombiana,2011
Conan the Barbarian,2011
The Conspirator,2011
Contagion,2011
Courageous,2011
Cowboys & Aliens,2011
"Crazy, Stupid, Love.",2011
The Darkest Hour,2011
Dead Stop,2011
The Debt,2011
The Descendants,2011
The Devil's Double,2011
Diary of a Wimpy Kid: Rodrick Rules,2011
The Dilemma,2011
Dirty Girl,2011
Dolphin Tale,2011
Don't Be Afraid of the Dark,2011
The Double,2011
Dream House,2011
Drive,2011
Drive Angry,2011
Dylan Dog: Dead of Night,2011
The Eagle,2011
Everything Must Go,2011
Extremely Loud and Incredibly Close,2011
Fast Five,2011
Father of Invention,2011
Fear of a Black Republican,2011
Final Destination 5,2011
Footloose,2011
Friends with Benefits,2011
Fright Night,2011
From Prada to Nada,2011
The Future,2011
The Girl with the Dragon Tattoo,2011
Glee: The 3D Concert Movie,2011
Gnomeo and Juliet,2011
A Good Old Fashioned Orgy,2011
The Good Doctor,2011
The Greatest Movie Ever Sold,2011
The Green Hornet,2011
Green Lantern,2011
Hall Pass,2011
The Hangover: Part II,2011
Hanna,2011
Happy Feet Two,2011
Happythankyoumoreplease,2011
Harry Potter and the Deathly Hallows: Part 2,2011
The Heart Specialist,2011
The Help,2011
Hesher,2011
Higher Ground,2011
Hoodwinked Too! Hood vs. Evil,2011
Hop,2011
Horrible Bosses,2011
Hugo,2011
I Am Number Four,2011
I Don't Know How She Does It,2011
I Melt with You,2011
The Ides of March,2011
Immortals,2011
In Time,2011
Inside Out,2011
Insidious,2011
J. Edgar,2011
Jack and Jill,2011
Janie Jones,2011
Judy Moody and the Not Bummer Summer,2011
Jumping the Broom,2011
Just Go with It,2011
Justin Bieber: Never Say Never,2011
Kill the Irishman,2011
Killer Elite,2011
Kung Fu Panda 2,2011
Larry Crowne,2011
Life in a Day,2011
Like Crazy,2011
Limitless,2011
The Lincoln Lawyer,2011
Lucky,2011
Machine Gun Preacher,2011
Madea's Big Happy Family,2011
Margaret,2011
Margin Call,2011
Mars Needs Moms,2011
Martha Marcy May Marlene,2011
The Mechanic,2011
Midnight in Paris,2011
Mission: Impossible – Ghost Protocol,2011
Moneyball,2011
Money Matters,2011
Monte Carlo,2011
Mr. Popper's Penguins,2011
The Muppets,2011
The Music Never Stopped,2011
New Year's Eve,2011
Newlyweds,2011
No Strings Attached,2011
One Day,2011
Our Idiot Brother,2011
Page One: A Year Inside the New York Times,2011
Paranormal Activity 3,2011
Paul,2011
Pearl Jam Twenty,2011
Peep World,2011
The Perfect Host,2011
Pirates of the Caribbean: On Stranger Tides,2011
Priest,2011
Prom,2011
Puncture,2011
Puss in Boots,2011
Rango,2011
Real Steel,2011
Red Riding Hood,2011
Red State,2011
Restless,2011
The Reunion,2011
Rio,2011
Rise of the Planet of the Apes,2011
The Rite,2011
The Roommate,2011
The Rum Diary,2011
Sanctum,2011
Scream 4,2011
Seance: The Summoning,2011
Season of the Witch,2011
Seven Days in Utopia,2011
Shark Night 3D,2011
Sherlock Holmes: A Game of Shadows,2011
The Sitter,2011
Skateland,2011
The Smurfs,2011
Snow Flower and the Secret Fan,2011
Something Borrowed,2011
The Son of No One,2011
Soul Surfer,2011
Source Code,2011
Spy Kids: All the Time in the World,2011
Straw Dogs,2011
Sucker Punch,2011
Super,2011
Super 8,2011
Take Me Home Tonight,2011
Take Shelter,2011
Texas Killing Fields,2011
That's What I Am,2011
The Thing,2011
Thor,2011
The Three Musketeers,2011
Tower Heist,2011
Transformers: Dark of the Moon,2011
The Tree of Life,2011
Trespass,2011
Unknown,2011
A Very Harold & Kumar 3D Christmas,2011
Waiting for Forever,2011
Warrior,2011
Water for Elephants,2011
The Way,2011
We Bought a Zoo,2011
What's Your Number?,2011
Win Win,2011
Winnie the Pooh,2011
The Woman,2011
X-Men: First Class,2011
Young Adult,2011
Your Highness,2011
Zookeeper,2011
12/12/2012,2012
2-Headed Shark Attack,2012
21 Jump Street,2012
28 Hotel Rooms,2012
"3,2,1... Frankie Go Boom",2012
40 Days and Nights,2012
40 Point Plan,2012
The ABCs of Death,2012
About Cherry,2012
Abraham Lincoln vs. Zombies,2012
Abraham Lincoln: Vampire Hunter,2012
Act of Valor,2012
After,2012
The Aggression Scale,2012
Air Collision,2012
Alex Cross,2012
Alien Origin,2012
Allegiance,2012
Alter Egos,2012
The Amazing Adventures of the Living Corpse,2012
The Amazing Spider-Man,2012
American Reunion,2012
Any Day Now,2012
Apostle Peter and the Last Supper,2012
The Apparition,2012
Arbitrage,2012
Arcadia,2012
Argo,2012
Art Machine,2012
Atlas Shrugged: Part II,2012
ATM,2012
Atom the Amazing Zombie Killer,2012
The Avengers,2012
The Babymakers,2012
Bachelorette,2012
Bad Ass,2012
Bad Kids Go to Hell,2012
Barbie in A Mermaid Tale 2,2012
Barbie: The Princess and the Popstar,2012
The Barrens,2012
Barricade,2012
Batman Revealed,2012
Batman: The Dark Knight Returns,2012
The Battery,2012
Battlefield America,2012
Battleship,2012
The Bay,2012
BearCity 2: The Proposal,2012
Beasts of the Southern Wild,2012
Beauty and the Beast 3D,2012
The Beauty Inside,2012
Being Flynn,2012
Ben Banks,2012
Bending the Rules,2012
Bernie,2012
Best Man Down,2012
Beverly Hills Chihuahua 3: Viva la Fiesta!,2012
Beyond,2012
Big Miracle,2012
Big Top Scooby-Doo!,2012
Bill W,2012
Bindlestiffs,2012
Black Rock,2012
Blood for Irina,2012
Border Run,2012
The Bourne Legacy,2012
Brake,2012
Branded,2012
Brave,2012
Breaking Wind,2012
Broken Roads,2012
Bully,2012
Butter,2012
The Cabin in the Woods,2012
Caesar and Otto's Deadly Christmas,2012
California Solo,2012
California Winter,2012
Call Me Kuchu,2012
The Campaign,2012
Caroline and Jackie,2012
Casa de Mi Padre,2012
Celeste and Jesse Forever,2012
The Central Park Five,2012
Changing the Game,2012
Chasing Ice,2012
Chasing Mavericks,2012
Chernobyl Diaries,2012
Chimpanzee,2012
A Christmas Story 2,2012
Christmas with the Dead,2012
Chronicle,2012
The Citizen,2012
Clash of the Empires,2012
Cloud Atlas,2012
The Cold Light of Day,2012
The Collection,2012
Come Morning,2012
The Comedy,2012
Compliance,2012
Contraband,2012
Cowgirls 'n Angels,2012
Crave,2012
Crazy Eyes,2012
Crooked Arrows,2012
Damsels in Distress,2012
The Dark Knight Rises,2012
Dark Shadows,2012
Dark Tide,2012
A Dark Truth,2012
Darling Companion,2012
Day One,2012
Dead Before Dawn,2012
Dead Man's Burden,2012
Deadfall,2012
Deadline,2012
Death Race 3: Inferno,2012
Deep Dark Canyon,2012
Detachment,2012
Detention of the Dead,2012
The Devil Inside,2012
Diary of a Wimpy Kid: Dog Days,2012
The Dictator,2012
Divorce Invitation,2012
Django Unchained,2012
The Do-Deca-Pentathlon,2012
Don't Change the Subject,2012
Dracula Reborn,2012
Dragon Eyes,2012
Dysfunctional Friends,2012
Eating Out 5: The Open Weekend,2012
Eden,2012
Elevator,2012
Elf-Man,2012
Emperor,2012
End of Watch,2012
Evidence,2012
Evil Head,2012
Excision,2012
Exit Strategy,2012
The Expendables 2,2012
Extracted,2012
Filly Brown,2012
Finding Nemo 3D,2012
Fire with Fire,2012
The First Time,2012
The Fitzgerald Family Christmas,2012
The Five-Year Engagement,2012
Flicka: Country Pride,2012
Flight,2012
"For a Good Time, Call...",2012
For Ellen,2012
For the Love of Money,2012
The Forger,2012
Forgetting the Girl,2012
Fortress,2012
Frankenweenie,2012
Friends with Kids,2012
Fun Size,2012
Gambit,2012
Gayby,2012
Ghost Rider: Spirit of Vengeance,2012
Girl in Progress,2012
God Bless America,2012
Gone,2012
Good Deeds,2012
The Grey,2012
The Guilt Trip,2012
Haywire,2012
Hello I Must Be Going,2012
Here Comes the Boom,2012
Hick,2012
High School,2012
Hit and Run,2012
Hope Springs,2012
Hotel Transylvania,2012
House at the End of the Street,2012
The Hunger Games,2012
I Do,2012
Ice Age: Continental Drift,2012
Jack Reacher,2012
Jayne Mansfield's Car,2012
"Jeff, Who Lives at Home",2012
John Carter,2012
Journey 2: The Mysterious Island,2012
Joyful Noise,2012
Katy Perry: Part of Me 3D,2012
Keep the Lights On,2012
Killer Joe,2012
A Late Quartet,2012
Lawless,2012
Liberal Arts,2012
Life of Pi,2012
Lincoln,2012
A Little Bit of Heaven,2012
Lockout,2012
Lola Versus,2012
The Loneliest Planet,2012
Looper,2012
Dr. Seuss' The Lorax,2012
The Lucky One,2012
Madagascar 3: Europe's Most Wanted,2012
Madea's Witness Protection,2012
Magic Mike,2012
The Magic of Belle Isle,2012
Maladies (2012 film),2012
Man on a Ledge,2012
The Man with the Iron Fists,2012
Marley,2012
The Master,2012
Men in Black 3,2012
Mirror Mirror,2012
"Monsters, Inc. 3D",2012
Moonrise Kingdom,2012
Nobody Walks,2012
The Odd Life of Timothy Green,2012
One for the Money,2012
One Small Hitch,2012
The Oogieloves in the Big Balloon Adventure,2012
The Oranges,2012
The Paperboy,2012
Paranormal Activity 4,2012
ParaNorman,2012
Parental Guidance,2012
"Peace, Love, & Misunderstanding",2012
People Like Us,2012
The Perks of Being a Wallflower,2012
Piranha 3DD,2012
Pitch Perfect,2012
The Possession,2012
Premium Rush,2012
Price Check,2012
Project X,2012
Prometheus,2012
Puppet Master X: Axis Rising,2012
The Queen of Versailles,2012
Rampart,2012
The Raven,2012
Red Dawn,2012
Red Hook Summer,2012
Red Lights,2012
Red Tails,2012
The Reluctant Fundamentalist,2012
Resident Evil: Retribution,2012
Rise of the Guardians,2012
Robot & Frank,2012
Rock of Ages,2012
Ruby Sparks,2012
Safe,2012
Safe House,2012
Safety Not Guaranteed,2012
Samsara,2012
Savages,2012
Seeking a Friend for the End of the World,2012
The Sessions,2012
Silent Hill: Revelation 3D,2012
Silent House,2012
Silver Linings Playbook,2012
Sinister,2012
Sleepwalk with Me,2012
Smashed,2012
Snow White & the Huntsman,2012
Sound of My Voice,2012
Sparkle,2012
Star Wars: Episode I – The Phantom Menace 3D,2012
Step Up Revolution,2012
Stolen,2012
The Swan Princess Christmas,2012
The Tall Man,2012
Ted,2012
That's My Boy,2012
Think Like a Man,2012
This Is 40,2012
This Means War,2012
A Thousand Words,2012
The Three Stooges,2012
Thunderstruck,2012
Titanic 3D,2012
Tomorrow You're Gone,2012
Total Recall,2012
Touchback,2012
Trouble with the Curve,2012
The Twilight Saga: Breaking Dawn - Part 2,2012
Underworld: Awakening,2012
The Unspeakable Act,2012
V/H/S,2012
Virginia,2012
The Vow,2012
Wanderlust,2012
The Watch,2012
What to Expect When You're Expecting,2012
Won't Back Down,2012
The Words,2012
Wrath of the Titans,2012
Wreck-It Ralph,2012
Goodbye Promise,2012
Zero Dark Thirty,2012
2 Guns,2013
12 Rounds 2: Reloaded,2013
12 Years a Slave,2013
20 Feet from Stardom,2013
21 and Over,2013
3 Geezers!,2013
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013
42,2013
47 Ronin,2013
9 Full Moons,2013
The ABCs of Death,2013
Abandoned Mine,2013
A.C.O.D.,2013
Admission,2013
After Earth,2013
Aftershock,2013
Ain't Them Bodies Saints,2013
All Is Lost,2013
Alone yet Not Alone,2013
American Hustle,2013
Anchorman 2: The Legend Continues,2013
Angels Sing,2013
Apartment 1303 3D,2013
Apocalypse Earth,2013
At Any Price,2013
Arthur Newman,2013
Artifact,2013
Ass Backwards,2013
Assault on Wall Street,2013
August: Osage County,2013
Baggage Claim,2013
Battle of the Year,2013
The Baytown Outlaws,2013
Beautiful Creatures,2013
Before Midnight,2013
Behind the Candelabra,2013
Beneath,2013
Beside Still Waters,2013
Best Kept Secret,2013
Best Man Down,2013
The Best Man Holiday,2013
Beyond the Farthest Star,2013
Big Ass Spider!,2013
Big Sur,2013
The Big Wedding,2013
Black Nativity,2013
Blackfish,2013
Black Rock,2013
"Bless Me, Ultima",2013
The Bling Ring,2013
Blue Caprice,2013
Blue Jasmine,2013
Blue Ruin,2013
The Book of Esther,2013
The Book Thief,2013
Bounty Killer,2013
The Brass Teapot,2013
Breathe In,2013
Bridegroom,2013
Broken City,2013
Bullet to the Head,2013
The Butler,2013
C.O.G.,2013
The Call,2013
Can a Song Save Your Life?,2013
The Canyons,2013
Captain Phillips,2013
Carrie,2013
CBGB,2013
Charlie Countryman,2013
Cheech & Chong's Animated Movie,2013
Chilling Visions: 5 Senses of Fear,2013
Clark: A Gonzomentary,2013
The Cloth,2013
Cloudy with a Chance of Meatballs 2,2013
Coffin Baby,2013
Company of Heroes,2013
The Company You Keep,2013
Computer Chess,2013
Concussion,2013
The Conjuring,2013
Contest,2013
Continental,2013
Contracted,2013
The Contractor,2013
The Counselor,2013
The Croods,2013
Cutie and the Boxer,2013
Dallas Buyers Club,2013
Dark Skies,2013
A Dark Truth,2013
Dead Man Down,2013
Despicable Me 2,2013
Disconnect,2013
Dirty Wars,2013
Don Jon,2013
Don't Stop Believin': Everyman's Journey,2013
Dracula: The Dark Prince,2013
Drinking Buddies,2013
Elysium,2013
Emperor,2013
Empire State,2013
Ender's Game,2013
The English Teacher,2013
Enough Said,2013
Epic,2013
Erased,2013
Escape from Planet Earth,2013
Escape Plan,2013
Europa Report,2013
Evil Dead,2013
The Face of Love,2013
Family Weekend,2013
Far Marfa,2013
Fast & Furious 6,2013
The Fifth Estate,2013
Five Dances,2013
Foodfight!,2013
Frances Ha,2013
The Frankenstein Theory,2013
Free Birds,2013
Fright Night 2: New Blood,2013
Frozen,2013
The Frozen Ground,2013
Fruitvale Station,2013
G.B.F.,2013
G.I. Joe: Retaliation,2013
Gangster Squad,2013
Generation Iron,2013
Geography Club,2013
Getaway,2013
The Ghost Army,2013
Girl Most Likely,2013
A Glimpse Inside the Mind of Charles Swan III,2013
Go for Sisters,2013
A Good Day to Die Hard,2013
Grace Unplugged,2013
Gravity,2013
The Great Gatsby,2013
The Green Inferno,2013
Greetings from Tim Buckley,2013
"Grow Up, Tony Phillips",2013
Grown Ups 2,2013
Grudge Match,2013
The Hangover Part III,2013
Hansel & Gretel,2013
Hansel & Gretel Get Baked,2013
Hansel & Gretel: Witch Hunters,2013
Hansel & Gretel: Warriors of Witchcraft,2013
Hatchet III,2013
"Hateship, Loveship",2013
A Haunted House,2013
The Haunting in Connecticut 2: Ghosts of Georgia,2013
He's Way More Famous Than You,2013
The Heat,2013
Hell Baby,2013
Her,2013
Hit & Stay,2013
The Hobbit: The Desolation of Smaug,2013
Home Run,2013
Homefront,2013
The Hospital,2013
The Host,2013
The Hot Flashes,2013
Hours,2013
House of Dust,2013
How to Lose Your Virginity,2013
How to Be a Man,2013
The Hunger Games: Catching Fire,2013
I Am Divine,2013
I'm in Love with a Church Girl,2013
